"Time, GMT-04:00",Date,Time,Pulaski,Sombrero,Molasses,Fowey
01/01/2010 19:15,1/1/2010,19:15,23.328,23.665,24.171,23.617
01/01/2010 19:30,1/1/2010,19:30,23.328,23.809,24.171,23.737
01/01/2010 19:45,1/1/2010,19:45,23.304,23.954,24.146,23.761
01/01/2010 20:00,1/1/2010,20:00,23.304,24.026,24.122,23.761
01/01/2010 20:15,1/1/2010,20:15,23.28,24.026,24.098,23.761
01/01/2010 20:30,1/1/2010,20:30,23.256,24.026,24.098,23.785
01/01/2010 20:45,1/1/2010,20:45,23.256,24.002,24.074,23.833
01/01/2010 21:00,1/1/2010,21:00,23.256,24.026,24.074,23.833
01/01/2010 21:15,1/1/2010,21:15,23.208,24.026,24.05,23.857
01/01/2010 21:30,1/1/2010,21:30,23.208,24.002,24.05,23.833
01/01/2010 21:45,1/1/2010,21:45,23.184,23.978,24.026,23.761
01/01/2010 22:00,1/1/2010,22:00,23.16,23.905,24.026,23.689
01/01/2010 22:15,1/1/2010,22:15,23.16,23.881,24.002,23.689
01/01/2010 22:30,1/1/2010,22:30,23.136,23.881,23.954,23.713
01/01/2010 22:45,1/1/2010,22:45,23.136,23.857,23.954,23.713
01/01/2010 23:00,1/1/2010,23:00,23.136,23.833,23.93,23.665
01/01/2010 23:15,1/1/2010,23:15,23.136,23.857,23.905,23.665
01/01/2010 23:30,1/1/2010,23:30,23.112,23.809,23.881,23.617
01/01/2010 23:45,1/1/2010,23:45,23.112,23.785,23.833,23.545
01/02/2010 00:00,1/2/2010,00:00,23.136,23.761,23.809,23.521
01/02/2010 00:15,1/2/2010,00:15,23.136,23.737,23.785,23.472
01/02/2010 00:30,1/2/2010,00:30,23.136,23.713,23.761,23.4
01/02/2010 00:45,1/2/2010,00:45,23.112,23.689,23.737,23.208
01/02/2010 01:00,1/2/2010,01:00,23.112,23.641,23.713,22.944
01/02/2010 01:15,1/2/2010,01:15,23.136,23.617,23.665,22.585
01/02/2010 01:30,1/2/2010,01:30,23.112,23.593,23.641,22.178
01/02/2010 01:45,1/2/2010,01:45,23.112,23.569,23.593,22.226
01/02/2010 02:00,1/2/2010,02:00,23.112,23.448,23.521,22.274
01/02/2010 02:15,1/2/2010,02:15,23.112,23.256,23.448,22.25
01/02/2010 02:30,1/2/2010,02:30,23.112,23.184,23.376,22.058
01/02/2010 02:45,1/2/2010,02:45,23.112,23.064,23.328,21.652
01/02/2010 03:00,1/2/2010,03:00,23.112,22.992,23.28,21.461
01/02/2010 03:15,1/2/2010,03:15,23.112,22.896,23.232,21.533
01/02/2010 03:30,1/2/2010,03:30,23.112,22.753,23.184,21.557
01/02/2010 03:45,1/2/2010,03:45,23.136,22.633,23.136,21.581
01/02/2010 04:00,1/2/2010,04:00,23.136,22.537,23.064,21.581
01/02/2010 04:15,1/2/2010,04:15,23.136,22.393,23.04,21.581
01/02/2010 04:30,1/2/2010,04:30,23.136,22.274,22.968,21.437
01/02/2010 04:45,1/2/2010,04:45,23.16,22.154,22.92,21.342
01/02/2010 05:00,1/2/2010,05:00,23.184,22.106,22.872,21.223
01/02/2010 05:15,1/2/2010,05:15,23.208,22.011,22.848,21.103
01/02/2010 05:30,1/2/2010,05:30,23.208,22.011,22.872,20.913
01/02/2010 05:45,1/2/2010,05:45,23.208,21.963,22.848,20.65
01/02/2010 06:00,1/2/2010,06:00,23.208,21.939,22.848,20.579
01/02/2010 06:15,1/2/2010,06:15,23.208,21.915,22.848,20.555
01/02/2010 06:30,1/2/2010,06:30,23.184,21.891,22.824,20.65
01/02/2010 06:45,1/2/2010,06:45,23.184,21.915,22.824,21.867
01/02/2010 07:00,1/2/2010,07:00,23.16,21.987,22.8,23.064
01/02/2010 07:15,1/2/2010,07:15,23.16,22.274,22.776,23.304
01/02/2010 07:30,1/2/2010,07:30,23.112,22.633,22.8,23.472
01/02/2010 07:45,1/2/2010,07:45,23.088,22.944,22.848,23.521
01/02/2010 08:00,1/2/2010,08:00,23.04,23.256,22.848,23.593
01/02/2010 08:15,1/2/2010,08:15,23.016,23.352,22.848,23.641
01/02/2010 08:30,1/2/2010,08:30,22.992,23.4,22.8,23.641
01/02/2010 08:45,1/2/2010,08:45,22.968,23.4,22.705,23.641
01/02/2010 09:00,1/2/2010,09:00,22.92,23.4,22.202,23.641
01/02/2010 09:15,1/2/2010,09:15,22.896,23.424,21.987,23.617
01/02/2010 09:30,1/2/2010,09:30,22.776,23.448,22.154,23.593
01/02/2010 09:45,1/2/2010,09:45,22.681,23.472,22.226,23.593
01/02/2010 10:00,1/2/2010,10:00,22.681,23.497,22.25,23.593
01/02/2010 10:15,1/2/2010,10:15,22.681,23.497,22.25,23.617
01/02/2010 10:30,1/2/2010,10:30,22.729,23.521,22.25,23.641
01/02/2010 10:45,1/2/2010,10:45,22.776,23.545,22.25,23.689
01/02/2010 11:00,1/2/2010,11:00,22.776,23.545,22.25,23.713
01/02/2010 11:15,1/2/2010,11:15,22.753,23.545,22.321,23.713
01/02/2010 11:30,1/2/2010,11:30,22.776,23.569,22.537,23.689
01/02/2010 11:45,1/2/2010,11:45,22.8,23.593,22.776,23.689
01/02/2010 12:00,1/2/2010,12:00,22.824,23.593,22.872,23.713
01/02/2010 12:15,1/2/2010,12:15,22.824,23.617,22.896,23.713
01/02/2010 12:30,1/2/2010,12:30,22.8,23.641,22.92,23.713
01/02/2010 12:45,1/2/2010,12:45,22.776,23.641,23.04,23.713
01/02/2010 13:00,1/2/2010,13:00,22.753,23.641,23.16,23.713
01/02/2010 13:15,1/2/2010,13:15,22.705,23.641,23.208,23.737
01/02/2010 13:30,1/2/2010,13:30,22.513,23.641,23.28,23.737
01/02/2010 13:45,1/2/2010,13:45,22.537,23.617,23.28,23.713
01/02/2010 14:00,1/2/2010,14:00,22.705,23.593,23.28,23.689
01/02/2010 14:15,1/2/2010,14:15,22.776,23.569,23.256,23.593
01/02/2010 14:30,1/2/2010,14:30,22.824,23.569,23.184,23.521
01/02/2010 14:45,1/2/2010,14:45,22.896,23.569,23.208,23.424
01/02/2010 15:00,1/2/2010,15:00,22.968,23.545,23.232,23.112
01/02/2010 15:15,1/2/2010,15:15,23.016,23.545,23.232,22.92
01/02/2010 15:30,1/2/2010,15:30,23.016,23.521,23.232,22.8
01/02/2010 15:45,1/2/2010,15:45,23.04,23.448,23.16,22.776
01/02/2010 16:00,1/2/2010,16:00,23.04,23.424,23.136,22.824
01/02/2010 16:15,1/2/2010,16:15,23.016,23.376,23.064,22.729
01/02/2010 16:30,1/2/2010,16:30,23.016,23.352,23.064,22.753
01/02/2010 16:45,1/2/2010,16:45,23.016,23.328,23.04,22.729
01/02/2010 17:00,1/2/2010,17:00,22.992,23.304,22.992,22.513
